Date,Open,High,Low,Close
17-09-14,465.864014,468.174011,452.421997,457.334015
18-09-14,456.859985,456.859985,413.104004,424.440002
19-09-14,424.102997,427.834991,384.532013,394.79599
20-09-14,394.673004,423.29599,389.882996,408.903992
21-09-14,408.084991,412.425995,393.181,398.821014
22-09-14,399.100006,406.915985,397.130005,402.152008
23-09-14,402.09201,441.557007,396.196991,435.790985
24-09-14,435.751007,436.112,421.131989,423.204987
25-09-14,423.156006,423.519989,409.467987,411.574005
26-09-14,411.428986,414.937988,400.009003,404.424988
27-09-14,403.556,406.622986,397.372009,399.519989
28-09-14,399.471008,401.016998,374.332001,377.181
29-09-14,376.928009,385.210999,372.23999,375.46701
30-09-14,376.088013,390.97699,373.442993,386.944
01-10-14,387.427002,391.378998,380.779999,383.61499
02-10-14,383.988007,385.497009,372.946014,375.071991
03-10-14,375.181,377.695007,357.859009,359.511993
04-10-14,359.891998,364.487,325.885986,328.865997
05-10-14,328.915985,341.800995,289.29599,320.51001
06-10-14,320.389008,345.134003,302.559998,330.07901
07-10-14,330.584015,339.247009,320.481995,336.187012
08-10-14,336.115997,354.364014,327.187988,352.940002
09-10-14,352.747986,382.726013,347.687012,365.026001
10-10-14,364.687012,375.066986,352.963013,361.562012
11-10-14,361.362,367.19101,355.950989,362.299011
12-10-14,362.605988,379.433014,356.144012,378.549011
13-10-14,377.92099,397.226013,368.897003,390.414001
14-10-14,391.691986,411.697998,391.324005,400.869995
15-10-14,400.954987,402.22699,388.765991,394.77301
16-10-14,394.518005,398.807007,373.070007,382.556
17-10-14,382.756012,385.477997,375.389008,383.757996
18-10-14,383.976013,395.15799,378.971008,391.441986
19-10-14,391.253998,393.938995,386.457001,389.54599
20-10-14,389.230988,390.084015,378.252014,382.845001
21-10-14,382.42099,392.645996,380.834015,386.475006
22-10-14,386.118011,388.575989,382.248993,383.15799
23-10-14,382.962006,385.048004,356.446991,358.416992
24-10-14,358.591003,364.345001,353.304993,358.345001
25-10-14,358.610992,359.860992,342.877014,347.270996
26-10-14,347.487,359.221008,343.931,354.70401
27-10-14,354.777008,358.631989,349.80899,352.989014
28-10-14,353.214996,359.984009,352.678986,357.618011
29-10-14,357.088989,357.833008,335.342987,335.591003
30-10-14,335.709015,350.912994,335.071991,345.304993
31-10-14,345.009003,348.045013,337.141998,338.321014
01-11-14,338.649994,340.528992,321.054993,325.748993
02-11-14,326.075012,329.049988,320.626007,325.891998
03-11-14,325.569,334.002014,325.480988,327.553986
04-11-14,327.161011,331.766998,325.076996,330.492004
05-11-14,330.683014,343.368988,330.683014,339.485992
06-11-14,339.458008,352.966003,338.424011,349.290009
07-11-14,349.817993,352.731995,341.776001,342.415009
08-11-14,342.153992,347.032013,342.153992,345.488007
09-11-14,345.376007,363.626007,344.255005,363.264008
10-11-14,362.265015,374.81601,357.561005,366.924011
11-11-14,365.856995,371.309998,363.734985,367.695007
12-11-14,367.984985,429.717987,367.984985,423.561005
13-11-14,427.27301,457.092987,401.122986,420.734985
14-11-14,418.416992,419.252014,384.789001,397.817993
15-11-14,399.649994,405.528015,371.007996,376.132996
16-11-14,374.730011,390.799011,374.60199,387.881989
17-11-14,388.348999,410.199005,377.502014,387.40799
18-11-14,387.785004,392.402008,371.117004,375.197998
19-11-14,373.895996,386.480988,373.895996,380.554993
20-11-14,380.307007,382.024994,356.781006,357.839996
21-11-14,357.878998,357.878998,344.112,350.847992
22-11-14,351.604004,364.841003,350.877991,352.920013
23-11-14,353.174988,370.845001,353.174988,367.572998
24-11-14,366.947998,387.209015,366.669006,376.901001
25-11-14,376.885986,394.700989,374.783997,375.347992
26-11-14,376.019012,377.697998,365.81601,368.369995
27-11-14,370.502014,373.992004,368.282013,369.670013
28-11-14,369.373993,382.838013,358.454987,376.446991
29-11-14,376.152008,387.601013,372.144989,375.490997
30-11-14,375.51001,382.527008,373.30899,378.046997
01-12-14,378.248993,383.661987,376.669006,379.244995
02-12-14,379.25,384.037994,377.863007,381.315002
03-12-14,381.721985,383.026001,374.346008,375.01001
04-12-14,375.717987,378.654999,367.759003,369.604004
05-12-14,369.441986,379.191986,365.756012,376.854004
06-12-14,376.756989,378.447998,370.945007,374.785004
07-12-14,374.835999,376.291992,373.274994,375.095001
08-12-14,374.964996,376.028992,361.885986,361.908997
09-12-14,361.894989,363.066986,344.950989,352.218994
10-12-14,352.204987,352.384003,346.36499,346.36499
11-12-14,344.339996,361.356995,338.763,350.506012
12-12-14,350.833008,352.983002,349.290985,352.541992
13-12-14,352.381012,352.381012,346.588013,347.376007
14-12-14,346.72699,353.31601,345.417999,351.631989
15-12-14,351.360992,351.815002,344.93399,345.345001
16-12-14,345.673004,345.859009,327.062012,327.062012
17-12-14,326.855011,333.95401,315.152008,319.776001
18-12-14,319.785004,323.709015,304.231995,311.395996
19-12-14,311.178986,318.53299,306.769012,317.842987
20-12-14,317.618988,330.325012,316.044006,329.955994
21-12-14,329.542999,329.628998,318.903015,320.842987
22-12-14,321.067993,334.117004,320.424988,331.885986
23-12-14,332.016998,336.286987,329.60199,334.571991
24-12-14,334.38501,334.740997,321.356995,322.533997
25-12-14,322.286011,322.670013,316.958008,319.007996
26-12-14,319.152008,331.424011,316.627014,327.924011
27-12-14,327.583008,328.911011,312.630005,315.863007
28-12-14,316.160004,320.028015,311.078003,317.239014
29-12-14,317.700989,320.266998,312.307007,312.670013
30-12-14,312.718994,314.80899,309.372986,310.737
31-12-14,310.914001,320.192993,310.210999,320.192993
01-01-15,320.434998,320.434998,314.002991,314.248993
02-01-15,314.07901,315.838989,313.565002,315.032013
03-01-15,314.846008,315.149994,281.082001,281.082001
04-01-15,281.145996,287.230011,257.612,264.195007
05-01-15,265.084015,278.341003,265.084015,274.473999
06-01-15,274.610992,287.553009,272.696014,286.188995
07-01-15,286.076996,298.753998,283.07901,294.337006
08-01-15,294.13501,294.13501,282.174988,283.348999
09-01-15,282.382996,291.114014,280.53299,290.40799
10-01-15,287.303009,288.127014,273.966003,274.79599
11-01-15,274.608002,279.638,265.039001,265.660004
12-01-15,266.145996,272.203003,265.200012,267.79599
13-01-15,267.394012,268.277008,219.906006,225.860992
14-01-15,223.893997,223.893997,171.509995,178.102997
15-01-15,176.897003,229.067001,176.897003,209.843994
16-01-15,209.070007,221.591003,199.770996,208.097
17-01-15,207.834,211.731003,194.875,199.259995
